lambda,psnr,image_name,bpp,wsmse,wspsnr,time
0.0001,39.575699,AerialCity_3840x1920_30fps_8bit_420_erp_0.png,1.764861,1,39.11528265260914,88.1
0.0001,39.436264,AerialCity_3840x1920_30fps_8bit_420_erp_0.png,1.828282,0,39.436268560987735,96.5
0.0001,39.605734,AerialCity_3840x1920_30fps_8bit_420_erp_0.png,1.756524,1,39.107635215910996,87.9
0.0001668100537200059,38.313221,AerialCity_3840x1920_30fps_8bit_420_erp_0.png,1.45617,1,37.76385279836465,87.9
0.0002782559402207126,36.908541,AerialCity_3840x1920_30fps_8bit_420_erp_0.png,1.153203,1,36.35511777224111,87.7
0.00046415888336127773,35.576425,AerialCity_3840x1920_30fps_8bit_420_erp_0.png,0.923181,1,34.943091672328535,87.8
0.000774263682681127,34.062749,AerialCity_3840x1920_30fps_8bit_420_erp_0.png,0.713562,1,33.39845365488281,87.7
0.001291549665014884,32.711796,AerialCity_3840x1920_30fps_8bit_420_erp_0.png,0.55976,1,31.99065540145908,87.9
0.002154434690031882,31.125064,AerialCity_3840x1920_30fps_8bit_420_erp_0.png,0.404002,1,30.362424171619548,87.6
0.003593813663804626,29.880736,AerialCity_3840x1920_30fps_8bit_420_erp_0.png,0.306022,1,29.094976048487588,87.9
0.005994842503189409,28.536705,AerialCity_3840x1920_30fps_8bit_420_erp_0.png,0.223217,1,27.706787507394868,88.0
0.01,27.360256,AerialCity_3840x1920_30fps_8bit_420_erp_0.png,0.174,1,26.576486940231888,87.7
0.0001,39.46988,AerialCity_3840x1920_30fps_8bit_420_erp_0.png,1.785633,0,39.46988515592376,96.1
0.0001668100537200059,38.312947,AerialCity_3840x1920_30fps_8bit_420_erp_0.png,1.50569,0,38.31294831016581,96.2
0.0002782559402207126,37.004575,AerialCity_3840x1920_30fps_8bit_420_erp_0.png,1.22442,0,37.00456823043304,96.3
0.00046415888336127773,35.521487,AerialCity_3840x1920_30fps_8bit_420_erp_0.png,0.956677,0,35.52148175882842,96.1
0.000774263682681127,34.109618,AerialCity_3840x1920_30fps_8bit_420_erp_0.png,0.76197,0,34.10961336603107,96.1
0.001291549665014884,32.609162,AerialCity_3840x1920_30fps_8bit_420_erp_0.png,0.583274,0,32.60916527414664,95.8
0.002154434690031882,31.112759,AerialCity_3840x1920_30fps_8bit_420_erp_0.png,0.456719,0,31.112749090064085,96.0
0.003593813663804626,29.698806,AerialCity_3840x1920_30fps_8bit_420_erp_0.png,0.337451,0,29.69880664572774,96.0
0.005994842503189409,28.374079,AerialCity_3840x1920_30fps_8bit_420_erp_0.png,0.249281,0,28.374080147129867,96.4
0.01,27.071829,AerialCity_3840x1920_30fps_8bit_420_erp_0.png,0.189308,0,27.071828576402133,95.9
