lambda,psnr,image_name,bpp,wsmse,wspsnr,time
0.0001,42.317965,Harbor_8192x4096_30fps_8bit_420_erp_0.png,1.141528,1,41.715121562007184,88.8
0.0001,42.204577,Harbor_8192x4096_30fps_8bit_420_erp_0.png,1.174214,0,42.20457510574655,96.5
0.0001,42.243854,Harbor_8192x4096_30fps_8bit_420_erp_0.png,1.150194,1,41.63464536671823,87.9
0.0001668100537200059,40.838464,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.926943,1,40.238336267795646,87.4
0.0002782559402207126,39.420312,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.771441,1,38.690939402641014,87.7
0.00046415888336127773,37.927409,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.62329,1,37.12288653391997,87.7
0.000774263682681127,36.421038,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.492715,1,35.53259276603,87.8
0.001291549665014884,35.099073,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.388811,1,34.13938332639813,87.9
0.002154434690031882,33.600023,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.319976,1,32.56096520944316,87.8
0.003593813663804626,32.239225,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.249072,1,31.18210693990274,87.8
0.005994842503189409,30.697794,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.191483,1,29.603091893202095,88.1
0.01,29.653219,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.157979,1,28.53471696489365,87.5
0.0001,42.082715,Harbor_8192x4096_30fps_8bit_420_erp_0.png,1.193744,0,42.08273015024332,95.9
0.0001668100537200059,40.768043,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.975965,0,40.768046678841216,96.6
0.0002782559402207126,39.526957,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.825471,0,39.5269554741241,96.2
0.00046415888336127773,37.916504,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.678634,0,37.91651010557505,96.5
0.000774263682681127,36.538267,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.541408,0,36.53827027939165,96.6
0.001291549665014884,35.022494,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.426191,0,35.02249575148965,96.4
0.002154434690031882,33.505471,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.338995,0,33.50547266078739,96.0
0.003593813663804626,32.013117,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.276887,0,32.01310946925185,96.1
0.005994842503189409,30.701531,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.216639,0,30.701518254786958,96.0
0.01,29.147723,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.169955,0,29.147725136149187,96.3
