lambda,psnr,image_name,bpp,wsmse,wspsnr,time
0.0001,40.363553,KiteFlite_8192x4096_30fps_8bit_420_erp_0.png,2.303619,1,39.92085572536911,87.8
0.0001,40.276228,KiteFlite_8192x4096_30fps_8bit_420_erp_0.png,2.280349,0,40.276229715759506,96.7
0.0001,40.299542,KiteFlite_8192x4096_30fps_8bit_420_erp_0.png,2.292528,1,39.87776275137952,87.6
0.0001668100537200059,38.711634,KiteFlite_8192x4096_30fps_8bit_420_erp_0.png,1.945982,1,38.29594076827201,87.9
0.0002782559402207126,37.081832,KiteFlite_8192x4096_30fps_8bit_420_erp_0.png,1.640938,1,36.654118708615655,87.8
0.00046415888336127773,35.256875,KiteFlite_8192x4096_30fps_8bit_420_erp_0.png,1.333006,1,34.80211816791741,87.8
0.000774263682681127,33.463895,KiteFlite_8192x4096_30fps_8bit_420_erp_0.png,1.088104,1,32.984037865414955,87.9
0.001291549665014884,31.688996,KiteFlite_8192x4096_30fps_8bit_420_erp_0.png,0.821393,1,31.19915834009126,88.0
0.002154434690031882,30.040047,KiteFlite_8192x4096_30fps_8bit_420_erp_0.png,0.645515,1,29.524430428767467,87.9
0.003593813663804626,28.424855,KiteFlite_8192x4096_30fps_8bit_420_erp_0.png,0.478055,1,27.930989382756902,88.1
0.005994842503189409,26.910482,KiteFlite_8192x4096_30fps_8bit_420_erp_0.png,0.346613,1,26.4331753576843,87.8
0.01,25.619618,KiteFlite_8192x4096_30fps_8bit_420_erp_0.png,0.244623,1,25.149422408618275,88.0
0.0001,40.168949,KiteFlite_8192x4096_30fps_8bit_420_erp_0.png,2.298475,0,40.16895750050105,95.7
0.0001668100537200059,38.722094,KiteFlite_8192x4096_30fps_8bit_420_erp_0.png,1.952336,0,38.72210894099532,96.2
0.0002782559402207126,37.042626,KiteFlite_8192x4096_30fps_8bit_420_erp_0.png,1.629166,0,37.042616899371254,96.2
0.00046415888336127773,35.183186,KiteFlite_8192x4096_30fps_8bit_420_erp_0.png,1.335762,0,35.18319192492124,96.4
0.000774263682681127,33.523203,KiteFlite_8192x4096_30fps_8bit_420_erp_0.png,1.082186,0,33.52320682813312,96.1
0.001291549665014884,31.762307,KiteFlite_8192x4096_30fps_8bit_420_erp_0.png,0.864095,0,31.762309131920045,96.2
0.002154434690031882,29.996628,KiteFlite_8192x4096_30fps_8bit_420_erp_0.png,0.653414,0,29.996613701777175,96.6
0.003593813663804626,28.334749,KiteFlite_8192x4096_30fps_8bit_420_erp_0.png,0.482082,0,28.33474909695773,96.1
0.005994842503189409,26.819926,KiteFlite_8192x4096_30fps_8bit_420_erp_0.png,0.344935,0,26.819926140622808,95.9
0.01,25.542294,KiteFlite_8192x4096_30fps_8bit_420_erp_0.png,0.255399,0,25.542294933472633,96.5
