lambda,psnr,image_name,bpp,wsmse,wspsnr,time
0.0001,40.990584,Trolley_8192x4096_30fps_8bit_420_erp_0.png,1.919743,1,40.44024974940094,88.4
0.0001668100537200059,39.392241,Trolley_8192x4096_30fps_8bit_420_erp_0.png,1.59537,1,38.792114979342095,88.3
0.0002782559402207126,37.582831,Trolley_8192x4096_30fps_8bit_420_erp_0.png,1.345331,1,36.98078618679993,88.2
0.00046415888336127773,35.897233,Trolley_8192x4096_30fps_8bit_420_erp_0.png,1.086921,1,35.27532903697107,88.5
0.000774263682681127,34.192275,Trolley_8192x4096_30fps_8bit_420_erp_0.png,0.882875,1,33.5431427480239,88.2
0.001291549665014884,32.414313,Trolley_8192x4096_30fps_8bit_420_erp_0.png,0.688289,1,31.724516383763927,87.5
0.002154434690031882,30.774039,Trolley_8192x4096_30fps_8bit_420_erp_0.png,0.516576,1,30.08734802851108,87.9
0.003593813663804626,29.244478,Trolley_8192x4096_30fps_8bit_420_erp_0.png,0.387166,1,28.58938081190475,87.5
0.005994842503189409,27.573396,Trolley_8192x4096_30fps_8bit_420_erp_0.png,0.261273,1,26.92736670047387,88.0
0.01,26.454762,Trolley_8192x4096_30fps_8bit_420_erp_0.png,0.195286,1,25.794365335394957,87.9
0.0001,41.633736,Gaslamp_8192x4096_30fps_8bit_420_erp_0.png,1.244243,1,41.076452603194795,87.9
0.0001668100537200059,40.238951,Gaslamp_8192x4096_30fps_8bit_420_erp_0.png,1.019265,1,39.6269884825232,87.9
0.0002782559402207126,38.642532,Gaslamp_8192x4096_30fps_8bit_420_erp_0.png,0.820928,1,37.993539591591656,87.9
0.00046415888336127773,37.086436,Gaslamp_8192x4096_30fps_8bit_420_erp_0.png,0.641951,1,36.35343952799626,88.1
0.000774263682681127,35.784778,Gaslamp_8192x4096_30fps_8bit_420_erp_0.png,0.530713,1,35.031114147011365,88.1
0.001291549665014884,34.438855,Gaslamp_8192x4096_30fps_8bit_420_erp_0.png,0.417953,1,33.61288204717599,87.8
0.002154434690031882,32.941669,Gaslamp_8192x4096_30fps_8bit_420_erp_0.png,0.33379,1,32.007042156641724,87.7
0.003593813663804626,31.590725,Gaslamp_8192x4096_30fps_8bit_420_erp_0.png,0.263437,1,30.5475949781926,87.7
0.005994842503189409,30.089178,Gaslamp_8192x4096_30fps_8bit_420_erp_0.png,0.199611,1,29.003106993332022,87.5
0.01,28.719773,Gaslamp_8192x4096_30fps_8bit_420_erp_0.png,0.154161,1,27.599947536757238,87.7
0.0001,40.727018,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,1.530364,1,40.11547538324555,88.0
0.0001668100537200059,39.177794,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,1.227152,1,38.48823978503345,88.0
0.0002782559402207126,37.673211,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,0.966441,1,36.89535671087833,87.6
0.00046415888336127773,36.196248,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,0.755564,1,35.345706788923955,87.8
0.000774263682681127,34.705113,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,0.573544,1,33.76784542227692,88.0
0.001291549665014884,33.316915,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,0.437995,1,32.30393208485011,87.9
0.002154434690031882,31.904266,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,0.314981,1,30.87085368365825,88.1
0.003593813663804626,30.825631,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,0.24169,1,29.744212852006466,87.6
0.005994842503189409,29.767583,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,0.184112,1,28.722758453268433,87.7
0.01,28.828331,DrivingInCountry_3840x1920_30fps_8bit_420_erp_0.png,0.145013,1,27.765590983097134,88.1
0.0001,37.31191,PoleVault_le_3840x1920_30fps_8bit_420_erp_0.png,2.555976,1,36.886515377379546,87.6
0.0001668100537200059,36.350622,PoleVault_le_3840x1920_30fps_8bit_420_erp_0.png,2.149864,1,35.95789284916674,88.0
0.0002782559402207126,35.245648,PoleVault_le_3840x1920_30fps_8bit_420_erp_0.png,1.776134,1,34.830441550933024,87.8
0.00046415888336127773,33.921155,PoleVault_le_3840x1920_30fps_8bit_420_erp_0.png,1.450201,1,33.454989346888695,87.9
0.000774263682681127,32.474917,PoleVault_le_3840x1920_30fps_8bit_420_erp_0.png,1.157516,1,31.971561127440165,88.1
0.001291549665014884,31.043037,PoleVault_le_3840x1920_30fps_8bit_420_erp_0.png,0.936243,1,30.524212420034807,88.0
0.002154434690031882,29.423669,PoleVault_le_3840x1920_30fps_8bit_420_erp_0.png,0.706931,1,28.818621202123502,87.8
0.003593813663804626,28.018537,PoleVault_le_3840x1920_30fps_8bit_420_erp_0.png,0.5447,1,27.396196689039506,88.0
0.005994842503189409,26.687489,PoleVault_le_3840x1920_30fps_8bit_420_erp_0.png,0.395542,1,26.02362963973235,88.0
0.01,25.308793,PoleVault_le_3840x1920_30fps_8bit_420_erp_0.png,0.293974,1,24.592904399553497,87.9
0.0001,42.243854,Harbor_8192x4096_30fps_8bit_420_erp_0.png,1.150194,1,41.63464536671823,87.9
0.0001668100537200059,40.838464,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.926943,1,40.238336267795646,87.4
0.0002782559402207126,39.420312,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.771441,1,38.690939402641014,87.7
0.00046415888336127773,37.927409,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.62329,1,37.12288653391997,87.7
0.000774263682681127,36.421038,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.492715,1,35.53259276603,87.8
0.001291549665014884,35.099073,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.388811,1,34.13938332639813,87.9
0.002154434690031882,33.600023,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.319976,1,32.56096520944316,87.8
0.003593813663804626,32.239225,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.249072,1,31.18210693990274,87.8
0.005994842503189409,30.697794,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.191483,1,29.603091893202095,88.1
0.01,29.653219,Harbor_8192x4096_30fps_8bit_420_erp_0.png,0.157979,1,28.53471696489365,87.5
0.0001,40.682638,DrivingInCity_3840x1920_30fps_8bit_420_erp_0.png,1.320231,1,40.003942614103345,88.0
0.0001668100537200059,39.464196,DrivingInCity_3840x1920_30fps_8bit_420_erp_0.png,1.113223,1,38.73611222542212,88.0
0.0002782559402207126,38.2545,DrivingInCity_3840x1920_30fps_8bit_420_erp_0.png,0.881502,1,37.490806116614415,88.0
0.00046415888336127773,36.854285,DrivingInCity_3840x1920_30fps_8bit_420_erp_0.png,0.726259,1,36.032341256381386,87.7
0.000774263682681127,35.584729,DrivingInCity_3840x1920_30fps_8bit_420_erp_0.png,0.576283,1,34.73992102547077,88.1
0.001291549665014884,34.065102,DrivingInCity_3840x1920_30fps_8bit_420_erp_0.png,0.455139,1,33.20175877808311,87.8
0.002154434690031882,32.840338,DrivingInCity_3840x1920_30fps_8bit_420_erp_0.png,0.365247,1,31.87174677724329,87.7
0.003593813663804626,31.204854,DrivingInCity_3840x1920_30fps_8bit_420_erp_0.png,0.274662,1,30.221677201485917,87.7
0.005994842503189409,29.868605,DrivingInCity_3840x1920_30fps_8bit_420_erp_0.png,0.208489,1,28.84488148498508,88.0
0.01,28.878564,DrivingInCity_3840x1920_30fps_8bit_420_erp_0.png,0.171084,1,27.80935679912748,88.2
0.0001,39.802673,BranCastle_6144x3072_30fps_8bit_420_erp_0.png,2.6766,1,39.5911124061087,87.7
0.0001668100537200059,38.116628,BranCastle_6144x3072_30fps_8bit_420_erp_0.png,2.337618,1,37.8343164764603,88.0
0.0002782559402207126,36.440828,BranCastle_6144x3072_30fps_8bit_420_erp_0.png,1.936236,1,36.090302140927456,87.9
0.00046415888336127773,34.583083,BranCastle_6144x3072_30fps_8bit_420_erp_0.png,1.59646,1,34.1846555031174,87.8
0.000774263682681127,32.949819,BranCastle_6144x3072_30fps_8bit_420_erp_0.png,1.3172,1,32.52352814966703,87.9
0.001291549665014884,31.103443,BranCastle_6144x3072_30fps_8bit_420_erp_0.png,1.034947,1,30.627116571209502,88.0
0.002154434690031882,29.275482,BranCastle_6144x3072_30fps_8bit_420_erp_0.png,0.777365,1,28.771850255546532,87.7
0.003593813663804626,27.600427,BranCastle_6144x3072_30fps_8bit_420_erp_0.png,0.574841,1,27.095313606571125,87.8
0.005994842503189409,26.089574,BranCastle_6144x3072_30fps_8bit_420_erp_0.png,0.409012,1,25.56575971716128,87.5
0.01,24.761313,BranCastle_6144x3072_30fps_8bit_420_erp_0.png,0.28873,1,24.260976349984716,88.2
0.0001,40.371167,Landing_6144x3072_30fps_8bit_420_erp_0.png,1.385045,1,39.88964138234919,87.9
0.0001668100537200059,39.36162,Landing_6144x3072_30fps_8bit_420_erp_0.png,1.164086,1,38.85257169255904,87.9
0.0002782559402207126,37.78907,Landing_6144x3072_30fps_8bit_420_erp_0.png,0.961347,1,37.15704558688445,87.8
0.00046415888336127773,36.874511,Landing_6144x3072_30fps_8bit_420_erp_0.png,0.758076,1,36.2979688987648,87.5
